query,std reasoner,std nodes explored,std min depth,success,time
1,std,2,1,True,0.0003397999999998902
2,std,1000000,0,False,45.622275941000005
3,std,2,1,True,0.0002958640000016999
4,std,1000000,0,False,41.92503278499999
5,std,14,3,True,0.0025545929999992723
6,std,12,8,True,0.002802617000000396
7,std,18,7,True,0.0013634739999872636
8,std,2,1,True,0.00039776299999516596
9,std,1000000,0,False,63.821950589
10,std,14,3,True,0.002547569000000749
11,std,1000000,0,False,40.102318431000015
12,std,2,1,True,0.00036083199998415694
13,std,4,3,True,0.0007975940000051196
14,std,2,1,True,0.00039516100000014376
15,std,2,1,True,0.00024622699999099495
16,std,1000000,0,False,62.23234865700002
17,std,14,3,True,0.002626325999983692
18,std,26530,12,True,1.2212728779999793
19,std,3,2,True,0.0006811540000057903
20,std,1000000,0,False,55.85907426900002
21,std,1000000,0,False,57.520380767000006
22,std,1000000,0,False,42.06370204900003
23,std,9,5,True,0.0024830010000300717
24,std,1000000,0,False,52.39478399199999
25,std,1000000,0,False,39.89503334800003
26,std,14,3,True,0.002600807000021632
27,std,6,5,True,0.0017826389999981984
28,std,14,3,True,0.0006122130000107973
29,std,1000000,0,False,54.335012131999974
30,std,4,3,True,0.0008131449999382312
31,std,4,3,True,0.0007852259999481248
32,std,1000000,0,False,46.240042166999956
33,std,5,4,True,0.001088447999904929
34,std,1000000,0,False,42.018399629999976
35,std,3,2,True,0.0006270670000958489
36,std,2,1,True,0.00031029500007662136
37,std,2,1,True,0.000420243999997183
38,std,7216,12,True,0.36234417700006816
39,std,175338,11,True,8.599039431000051
40,std,2,1,True,0.00032946500004982227
41,std,1000000,0,False,42.717447798999956
42,std,14,3,True,0.002686175999997431
43,std,6,3,True,0.0014022730000533556
44,std,1000000,0,False,40.297800198999994
45,std,7,5,True,0.003871753999987959
46,std,14,3,True,0.004188506999980746
47,std,1000000,0,False,50.320965885999954
48,std,2,1,True,0.0003779869999789298
49,std,2,1,True,0.0002526030000353785
50,std,6,5,True,0.0014162350000788138
51,std,1000000,0,False,46.80625374099998
52,std,4,3,True,0.0010635060000367957
53,std,14,3,True,0.0026996440000175426
54,std,1000000,0,False,42.875814358999946
55,std,2,1,True,0.0002624709999281549
56,std,14,3,True,0.0025529250000317916
57,std,1000000,0,False,42.925416530999996
58,std,2,1,True,0.00026500699993903254
59,std,1000000,0,False,59.750221667999995
60,std,5,4,True,0.0011886270000331933
61,std,1000000,0,False,44.44696434299999
62,std,1000000,0,False,46.54410119299996
63,std,26531,14,True,1.3647887150000315
64,std,14,3,True,0.002393043999973088
65,std,1000000,0,False,54.44534285200007
66,std,1000000,0,False,43.04312526300009
67,std,14,3,True,0.0027709060000233876
68,std,2,1,True,0.0003486000000521017
69,std,3,2,True,0.0006613309999465855
70,std,5,4,True,0.0012516639999375911
71,std,2,1,True,0.0002980269998715812
72,std,1000000,0,False,58.37327945200013
73,std,2,1,True,0.00030130499999359017
74,std,6,5,True,0.0015496230000735522
75,std,2,1,True,0.0002525580000565242
76,std,4,3,True,0.0006527529999402759
77,std,2,1,True,0.00048215900005743606
78,std,8,7,True,0.0020520069999747648
79,std,1000000,0,False,52.61787642699983
80,std,3,2,True,0.0007055370001580741
81,std,1000000,0,False,55.741212831999974
82,std,21,11,True,0.004261171999814906
83,std,2,1,True,0.0003607410001222888
84,std,1000000,0,False,41.31136249899987
85,std,14,3,True,0.002747512000041752
86,std,2,1,True,0.00036777199989046494
87,std,1000000,0,False,42.24517891100004
88,std,2,1,True,0.0003249720000439993
89,std,7,6,True,0.0016763160001573851
90,std,3,2,True,0.0006384949999755918
91,std,14,3,True,0.0024392320001425105
92,std,1000000,0,False,49.75541919600005
93,std,2,1,True,0.0002840249999280786
94,std,1000000,0,False,43.63184488599995
95,std,1000000,0,False,65.84002355799998
96,std,4,3,True,0.0008316089999880205
97,std,1000000,0,False,60.65749707300006
98,std,1000000,0,False,38.61810338600003
99,std,2,1,True,0.0002625040001476009
100,std,122591,14,True,3.592059013999915
