query,ming reasoner,ming nodes explored,ming min depth,success,time
1,ming,6,5,True,0.13212924900000012
2,ming,3,2,True,0.0038195180000002438
3,ming,29,15,True,0.2531907579999988
4,ming,3,2,True,0.003636733000000447
5,ming,2,1,True,0.02080457000000102
6,ming,3,2,True,0.004276438999999854
7,ming,55011,4,True,27.509066681
8,ming,16581,3,True,7.191071796000003
9,ming,3,2,True,0.030017518000001076
10,ming,7,6,True,0.05523716300000103
11,ming,4,3,True,0.02854815299999558
12,ming,2,1,True,0.0062630430000041315
13,ming,3,2,True,0.030324954000001014
14,ming,30,15,True,0.22344780499999928
15,ming,4,3,True,0.0001517510000041966
16,ming,3,2,True,0.030414050000004522
17,ming,6,5,True,0.17620793199999696
18,ming,150776,13,True,74.128058469
19,ming,2,1,True,0.02135501500001169
20,ming,49,15,True,0.2908224439999998
21,ming,4,3,True,0.009840556000000333
22,ming,178946,6,True,33.92416178500001
23,ming,4,3,True,0.04845141600000602
24,ming,50,15,True,0.2876256469999987
25,ming,5,4,True,0.030842150000012225
26,ming,2,1,True,0.021912778999990223
27,ming,27328,15,True,10.006371717000007
28,ming,5,4,True,0.051461942999992516
29,ming,3,2,True,0.011561494000005723
30,ming,2,1,True,7.628499997736071e-05
31,ming,4,2,True,0.010873577000012347
32,ming,79008,6,True,20.394621704000002
33,ming,2,1,True,0.020218755999991345
34,ming,5,4,True,0.010780997000011894
35,ming,2,1,True,0.021384151999995993
36,ming,154,15,True,1.1540164209999944
37,ming,2,1,True,0.006117033000009542
38,ming,2,1,True,0.02024668199999269
39,ming,38620,3,True,10.336338748000003
40,ming,9650,9,True,4.293800672999993
41,ming,177906,8,True,55.993743455000015
42,ming,5,4,True,0.042826373999986345
43,ming,10594,5,True,4.912482906000008
44,ming,18203,7,True,4.071246432999999
45,ming,3,2,True,0.011759433000008812
46,ming,1350,15,True,3.1945295410000085
47,ming,2,1,True,0.02016006400003789
48,ming,5,4,True,0.03572712700002967
49,ming,26062,7,True,5.0329066649999845
50,ming,2,1,True,0.007694018999984564
51,ming,2,1,True,0.020533352999962062
52,ming,2,1,True,0.020488487000022815
53,ming,2,1,True,0.02052674899999829
54,ming,27858,14,True,7.0713318749999985
55,ming,2,1,True,9.390499997152801e-05
56,ming,2,1,True,0.020804238000039277
57,ming,2,1,True,8.11349999594313e-05
58,ming,2,1,True,0.021073954000030426
59,ming,6,5,True,0.024034767999978612
60,ming,6,5,True,0.07779549400004271
61,ming,3,2,True,0.030027686999972047
62,ming,3,2,True,0.03564395300003298
63,ming,2,1,True,8.325999999669875e-05
64,ming,5,4,True,0.03683875399997305
65,ming,2,1,True,0.02622120000000905
66,ming,1000000,0,False,325.58374863800003
67,ming,89376,4,True,13.667305889999966
68,ming,5,4,True,0.03576664399997753
69,ming,2,1,True,0.022003149999932248
70,ming,6,5,True,0.0268650279999747
71,ming,29,15,True,0.12690973900009794
72,ming,2,1,True,0.022357736999992994
73,ming,2,1,True,0.0062236169999323465
74,ming,2,1,True,0.007559420999996291
75,ming,6,5,True,0.03654570599996987
76,ming,3,2,True,0.013851324000029308
77,ming,5,4,True,0.07789101800005938
78,ming,2,1,True,0.022152130999984365
79,ming,7,6,True,0.03543944700004431
80,ming,4,3,True,0.03871606099994551
81,ming,2,1,True,0.020901170999991336
82,ming,4,3,True,0.03404095399992002
83,ming,2,1,True,0.021882701999970777
84,ming,10,9,True,0.042777665000016896
85,ming,4,3,True,0.00014859600003092055
86,ming,2,1,True,0.006038555999907658
87,ming,2,1,True,0.021192426999959935
88,ming,3,2,True,0.011784841000007873
89,ming,2,1,True,8.405200003380742e-05
90,ming,4,3,True,0.0323331040000312
91,ming,3,2,True,0.004077573000017765
92,ming,2,1,True,0.007828209000081188
93,ming,2,1,True,0.02063920299997335
94,ming,3,2,True,0.03209046300003138
95,ming,243533,6,True,71.37846740600003
96,ming,4,3,True,0.017741983000064465
97,ming,2,1,True,0.02161822100003974
98,ming,13446,6,True,8.344939737999994
99,ming,2,1,True,0.021014261000004808
100,ming,3,2,True,0.0043419249999487874
