query,ming reasoner,ming nodes explored,ming min depth,success,time
1,ming,1000000,0,False,48.193561389
2,ming,3,2,True,0.004669963000004884
3,ming,3,2,True,0.00445004099999835
4,ming,2,1,True,0.011944941000002984
5,ming,3,2,True,0.07431507299999396
6,ming,3,2,True,0.003495330000006902
7,ming,1000000,0,False,44.621351843999996
8,ming,325819,11,True,25.757056218999992
9,ming,183,8,True,0.4776613310000073
10,ming,1000000,0,False,34.64704348599999
11,ming,3,2,True,0.07534062099998096
12,ming,4,3,True,0.09764402499999392
13,ming,4,3,True,0.07747752700001342
14,ming,1949,13,True,5.203981959000004
15,ming,3,2,True,0.006263268999987304
16,ming,4,3,True,0.0048419700000010835
17,ming,4,3,True,0.00496740200000545
18,ming,4,3,True,0.006834663000006458
19,ming,4,3,True,0.025164892999981703
20,ming,5,4,True,0.016911472999993293
21,ming,13,6,True,0.2490199949999976
22,ming,38,9,True,0.42942457199998785
23,ming,3,2,True,0.07597063099998991
24,ming,4,3,True,0.07637861800000678
25,ming,4,3,True,0.09311135100000456
26,ming,3,2,True,0.07450900000000615
27,ming,7,6,True,0.01324928400001113
28,ming,1000000,0,False,417.26610392399994
29,ming,64,12,True,1.0150953830000162
30,ming,3,2,True,0.16127937700002803
31,ming,173,11,True,1.4006690679999565
32,ming,3,2,True,0.06434163500000523
33,ming,50,7,True,0.8466913930000146
34,ming,152,7,True,0.5308929779999971
35,ming,4,3,True,0.2036364489999869
36,ming,3,2,True,0.15695479499993326
37,ming,6,4,True,0.9828243860000612
38,ming,1000000,0,False,69.81302308399995
39,ming,3,2,True,0.05675977499993223
40,ming,3,2,True,0.057732255000018995
41,ming,4,3,True,0.030916591999925913
42,ming,3,2,True,0.08034934299996621
43,ming,8,3,True,0.11241107399996508
44,ming,10,9,True,0.14250718299990695
45,ming,3,2,True,0.21242985699996098
46,ming,4,3,True,0.005669183999998495
47,ming,18,11,True,0.4948959149999155
48,ming,3,2,True,0.2102711539999973
49,ming,6,5,True,0.5467970229999537
50,ming,3,2,True,0.006283813000095506
51,ming,3,2,True,0.00364851299991642
52,ming,4,3,True,0.038176443999986986
53,ming,960503,0,False,113.56907425899999
54,ming,3,2,True,0.0036844310000105907
55,ming,12,11,True,0.41712209000002076
56,ming,4,3,True,0.006095770000001721
57,ming,3,2,True,0.07630823499994221
58,ming,66,13,True,0.8473603479999383
59,ming,3,2,True,0.004581631999940328
60,ming,3,2,True,0.0054494579999300186
61,ming,6,5,True,0.008989390000010644
62,ming,19,12,True,0.12812183899995944
63,ming,15,8,True,0.7018960110000307
64,ming,3,2,True,0.14605911400008154
65,ming,17,7,True,0.22672029800003202
66,ming,1000000,0,False,153.83278193800004
67,ming,540,11,True,2.7454479730000685
68,ming,3,2,True,0.0035828159999482523
69,ming,3,2,True,0.04879420600002504
70,ming,3,2,True,0.15404604799994104
71,ming,4,3,True,0.005497816999991301
72,ming,9,8,True,0.3577013200000465
73,ming,5,4,True,0.008396564000008766
74,ming,9,8,True,0.023178634000032616
75,ming,4,3,True,0.008726117999913185
76,ming,4,3,True,0.006291003000001183
77,ming,52,9,True,0.8168614510000225
78,ming,4,3,True,0.005832652999970378
79,ming,5,3,True,0.11271251900006973
80,ming,17068,13,True,7.347970712999995
81,ming,3,2,True,0.006358422000062092
82,ming,7,6,True,0.015043558999991546
83,ming,3,2,True,0.005994665999992321
84,ming,13,11,True,0.035186286999987715
85,ming,463,11,True,2.293212576000087
86,ming,4,3,True,0.07933557100000144
87,ming,17712,0,False,21.972187373999986
88,ming,3,2,True,0.004647300999977233
89,ming,19,8,True,0.08373791999997593
90,ming,3,2,True,0.0644739550000395
91,ming,10,6,True,0.0800387919999821
92,ming,2,1,True,0.00010749000000487285
93,ming,4,3,True,0.19760297899995294
94,ming,15,14,True,0.34084436600005574
95,ming,3,2,True,0.07877118499993685
96,ming,4,3,True,0.08993117900001835
97,ming,642,7,True,1.2950613080000721
98,ming,6,4,True,0.210727592000012
99,ming,7,6,True,0.1728053770000315
100,ming,14,10,True,0.09703997400004027
