query,std reasoner,std nodes explored,std min depth,success,time
1,std,20739,4,True,0.9448162959999991
2,std,3,2,True,0.001197616999998985
3,std,6,2,True,0.0040280870000000135
4,std,7,6,True,0.0019216719999999299
5,std,3,2,True,0.0005191910000004185
6,std,3,2,True,0.0007246379999994446
7,std,2,1,True,0.0005812379999987627
8,std,2,1,True,0.0005471410000001953
9,std,3,2,True,0.0010604839999999172
10,std,3,2,True,0.0011604569999992265
11,std,3,2,True,0.0006659549999987746
12,std,3435,7,True,0.22589194599999907
13,std,3,2,True,0.0011788349999992676
14,std,3,2,True,0.000854116999999377
15,std,2697,3,True,0.09238810399999942
16,std,3,2,True,0.0012122499999982495
17,std,17,3,True,0.00621300000000069
18,std,11,3,True,0.003115485000000362
19,std,59,4,True,0.006773136999999707
20,std,2,1,True,0.0006576260000006329
21,std,3,2,True,0.0006700730000002153
22,std,2,1,True,0.0004127589999995962
23,std,2,1,True,0.00048465699999944434
24,std,6,5,True,0.0016957780000002032
25,std,2,1,True,0.0004561409999990218
26,std,154821,4,True,5.058771753
27,std,4,3,True,0.0010236209999998636
28,std,2,1,True,0.0005783340000000692
29,std,3,2,True,0.0005946570000006091
30,std,5,4,True,0.0015316959999989166
31,std,12,2,True,0.0031524449999995596
32,std,7,5,True,0.0016953509999986238
33,std,6,2,True,0.0011720479999990374
34,std,2,1,True,0.0005016920000002756
35,std,3,2,True,0.0008270479999996638
36,std,3,2,True,0.0009118160000003428
37,std,3,2,True,0.0012465999999999866
38,std,2,1,True,0.000782556000000767
39,std,2,1,True,4.694699999951979e-05
40,std,2,1,True,0.000799946000000773
41,std,5,4,True,0.0015566949999996638
42,std,5,4,True,0.0014882709999994859
43,std,5,4,True,0.001239770999999834
44,std,4,3,True,0.0010520510000002758
45,std,2,1,True,0.0007769789999994003
46,std,5,4,True,0.0007529479999988098
47,std,3,2,True,0.000585731000001033
48,std,2,1,True,0.0003820709999988736
49,std,3,2,True,0.0013219900000009943
50,std,6,2,True,0.0010742320000005634
51,std,3,2,True,0.0006193189999983417
52,std,8,6,True,0.002803722999999536
53,std,3,2,True,0.0005675650000007693
54,std,2,1,True,0.0005650930000005161
55,std,8,7,True,0.004564997999999321
56,std,3,2,True,0.0009189119999994944
57,std,3,2,True,0.0006824940000011992
58,std,2,1,True,0.0004511540000002867
59,std,3,2,True,0.0004007989999994521
60,std,45,4,True,0.015142107999999155
61,std,2,1,True,0.00044261499999898035
62,std,3,2,True,0.0008242889999987568
63,std,3,2,True,0.00035773900000002357
64,std,8,7,True,0.0018926509999985797
65,std,21,5,True,0.0018707000000013352
66,std,3,2,True,0.00046670500000089987
67,std,2,1,True,0.0004266010000009146
68,std,5,4,True,0.0009524219999992312
69,std,5,4,True,0.0005983670000002661
70,std,3,2,True,0.000605168999999961
71,std,3434,4,True,0.12146368099999982
72,std,32,2,True,0.005314192000000162
73,std,7,4,True,0.0020936769999995164
74,std,2,1,True,0.00045834199999994496
75,std,50,5,True,0.011462564000000341
76,std,36,8,True,0.002734623000000269
77,std,3,2,True,0.0006798969999994853
78,std,2,1,True,0.0004619859999994702
79,std,2,1,True,0.0005890199999996071
80,std,3,2,True,0.000730069999999472
81,std,6,5,True,0.003979619999999073
82,std,8,4,True,0.001788437000000087
83,std,7,6,True,0.0016527819999989646
84,std,6,3,True,0.000772663000001117
85,std,11,10,True,0.003566535999999232
86,std,2,1,True,0.00044979499999975303
87,std,3,2,True,0.0011079469999994984
88,std,5,4,True,0.0011705889999991115
89,std,3,2,True,0.000680815000000834
90,std,2,1,True,0.0006888750000015875
91,std,3511,4,True,0.15465424199999944
92,std,3,2,True,0.0009499550000011681
93,std,6,5,True,0.0021180970000003185
94,std,3,2,True,0.0007941620000000427
95,std,3,2,True,0.0008704819999998392
96,std,2,1,True,4.860700000008933e-05
97,std,2,1,True,4.345600000021932e-05
98,std,2,1,True,0.0004590740000001148
99,std,3,2,True,0.0010335409999999712
100,std,9,4,True,0.002135789000000443
